id,question,ground_truth,baseline_answer,verified_answer,,,,,,,,,,,,,,,,,baseline_correct,verified_correct
1,What is the capital of Australia?,Canberra,The capital of Australia is Canberra.,The answer is factually correct. The capital of Australia is indeed Canberra.,,,,,,,,,,,,,,,,,1,1
2,Who discovered penicillin?,Alexander Fleming,Penicillin was discovered by Alexander Fleming in 1928.,The answer is factually correct. Penicillin was indeed discovered by Alexander Fleming in 1928.,,,,,,,,,,,,,,,,,1,1
3,What is the chemical symbol for water?,H2O,The chemical symbol for water is H₂O.,"The answer is factually correct. The chemical symbol for water is indeed H₂O, which indicates that each molecule of water is composed of two hydrogen atoms (H) and one oxygen atom (O).",,,,,,,,,,,,,,,,,1,1
4,How many continents are there on Earth?,7,"There are seven continents on Earth: Africa, Antarctica, Asia, Australia, Europe, North America, and South America.","The answer is factually correct. There are seven continents on Earth: Africa, Antarctica, Asia, Australia, Europe, North America, and South America.",,,,,,,,,,,,,,,,,1,1
5,Which planet is closest to the Sun?,Mercury,The planet closest to the Sun is Mercury.,The answer is factually correct. The planet closest to the Sun is indeed Mercury.,,,,,,,,,,,,,,,,,1,1
6,What gas do humans need to breathe to survive?,Oxygen,Humans need to breathe oxygen to survive.,The answer is factually correct. Humans need to breathe oxygen to survive.,,,,,,,,,,,,,,,,,1,1
7,What is the largest mammal on Earth?,Blue whale,The largest mammal on Earth is the blue whale (*Balaenoptera musculus*). Blue whales can reach lengths of up to 100 feet (30 meters) and can weigh as much as 200 tons or more.,"The answer is factually correct. The blue whale (*Balaenoptera musculus*) is indeed the largest mammal on Earth, reaching lengths of up to 100 feet (30 meters) and weighing as much as 200 tons or more.",,,,,,,,,,,,,,,,,1,1
8,What is the freezing point of water in Celsius?,0,The freezing point of water in Celsius is 0 degrees Celsius (0 °C).,The answer is factually correct. The freezing point of water in Celsius is indeed 0 degrees Celsius (0 °C).,,,,,,,,,,,,,,,,,1,1
9,Who was the first person to walk on the Moon?,Neil Armstrong,"The first person to walk on the Moon was Neil Armstrong. He took his historic step on July 20, 1969, during NASA's Apollo 11 mission.","The answer is factually correct. Neil Armstrong was indeed the first person to walk on the Moon, and he did so on July 20, 1969, during NASA's Apollo 11 mission.",,,,,,,,,,,,,,,,,1,1
10,What is the currency of Japan?,Yen,"The currency of Japan is the Japanese yen, which is abbreviated as JPY and often represented by the symbol ¥.","The answer is factually correct. The currency of Japan is indeed the Japanese yen, abbreviated as JPY and represented by the symbol ¥.",,,,,,,,,,,,,,,,,1,1
11,What is the square root of 144?,12,The square root of 144 is 12.,The answer is factually correct. The square root of 144 is indeed 12.,,,,,,,,,,,,,,,,,1,1
12,Which organ pumps blood in the human body?,Heart,The organ that pumps blood in the human body is the heart.,The answer is factually correct. The organ that pumps blood in the human body is indeed the heart.,,,,,,,,,,,,,,,,,1,1
13,Which planet is known as the Red Planet?,Mars,Mars is known as the Red Planet.,The answer is factually correct. Mars is indeed known as the Red Planet.,,,,,,,,,,,,,,,,,1,1
14,What is the chemical symbol for gold?,Au,The chemical symbol for gold is Au.,The answer is factually correct. The chemical symbol for gold is indeed Au.,,,,,,,,,,,,,,,,,1,1
15,How many players are on a soccer team on the field?,11,"In a soccer match, each team has 11 players on the field, making a total of 22 players on the field at any given time.","The answer is factually correct. In a soccer match, each team has 11 players on the field, resulting in a total of 22 players on the field at any given time.",,,,,,,,,,,,,,,,,1,1
16,What is the main language spoken in Brazil?,Portuguese,The main language spoken in Brazil is Portuguese.,The answer is factually correct. The main language spoken in Brazil is indeed Portuguese.,,,,,,,,,,,,,,,,,1,1
17,Which ocean is the largest?,Pacific Ocean,The largest ocean is the Pacific Ocean.,The answer is factually correct. The largest ocean is indeed the Pacific Ocean.,,,,,,,,,,,,,,,,,1,1
18,What does CPU stand for?,Central Processing Unit,CPU stands for Central Processing Unit.,The answer is factually correct. CPU does indeed stand for Central Processing Unit.,,,,,,,,,,,,,,,,,1,1
19,How many degrees are in a right angle?,90,A right angle measures 90 degrees.,The answer is factually correct. A right angle measures 90 degrees.,,,,,,,,,,,,,,,,,1,1
20,What vitamin is produced by sunlight exposure?,Vitamin D,"Vitamin D is produced by the body in response to sunlight exposure. Specifically, ultraviolet B (UVB) rays from the sun trigger the synthesis of vitamin D in the skin.","The answer is factually correct. Vitamin D is indeed produced by the body in response to sunlight exposure, specifically through the action of ultraviolet B (UVB) rays on the skin.",,,,,,,,,,,,,,,,,1,1
21,In which year did World War II end?,1945,World War II ended in 1945.,The answer is factually correct. World War II ended in 1945.,,,,,,,,,,,,,,,,,1,1
22,Who proposed the theory of relativity?,Albert Einstein,"The theory of relativity was proposed by Albert Einstein. It consists of two parts: special relativity, introduced in 1905, and general relativity, introduced in 1915.","The answer is factually correct. The theory of relativity was indeed proposed by Albert Einstein, with special relativity introduced in 1905 and general relativity introduced in 1915.",,,,,,,,,,,,,,,,,1,1
23,What is the atomic number of carbon?,6,The atomic number of carbon is 6.,The answer is factually correct. The atomic number of carbon is indeed 6.,,,,,,,,,,,,,,,,,1,1
24,What is the boiling point of water in Celsius at sea level?,100,The boiling point of water at sea level is 100 degrees Celsius.,The answer is factually correct. The boiling point of water at sea level is indeed 100 degrees Celsius.,,,,,,,,,,,,,,,,,1,1
25,Which blood type is the universal donor?,O negative,The universal donor blood type is O negative (O-). This blood type can be given to patients of any blood type without the risk of an adverse reaction.,"The answer is factually correct. The universal donor blood type is indeed O negative (O-). This blood type can be transfused to patients of any blood type without the risk of an adverse reaction, making it crucial in emergency situations where the recipient's blood type is unknown.",,,,,,,,,,,,,,,,,1,1
26,Who painted the Mona Lisa?,Leonardo da Vinci,The Mona Lisa was painted by the Italian artist Leonardo da Vinci.,The answer is factually correct. The Mona Lisa was indeed painted by the Italian artist Leonardo da Vinci.,,,,,,,,,,,,,,,,,1,1
27,How many bones are in the adult human body?,206,"The adult human body typically has 206 bones. However, this number can vary slightly due to variations such as the presence of extra bones (accessory bones) or the fusion of certain bones.","The answer is factually correct. The adult human body typically has 206 bones. This number can vary slightly due to individual variations, such as the presence of accessory bones or the fusion of certain bones, but 206 is the standard count for adults.",,,,,,,,,,,,,,,,,1,1
28,What year was the first iPhone released?,2007,"The first iPhone was released on June 29, 2007.","The answer is factually correct. The first iPhone was indeed released on June 29, 2007.",,,,,,,,,,,,,,,,,1,1
29,Which metal has the chemical symbol Fe?,Iron,The metal with the chemical symbol Fe is iron.,The answer is factually correct. The metal with the chemical symbol Fe is indeed iron.,,,,,,,,,,,,,,,,,1,1
30,What is the tallest mountain above sea level?,Mount Everest,"The tallest mountain above sea level is Mount Everest, which has a height of 8,848.86 meters (29,031.7 feet).","The answer is factually correct. Mount Everest is indeed the tallest mountain above sea level, with a height of 8,848.86 meters (29,031.7 feet). This measurement was confirmed by a 2020 survey conducted by China and Nepal.",,,,,,,,,,,,,,,,,1,1
31,Which scientist developed the theory of evolution by natural selection?,Charles Darwin,The theory of evolution by natural selection was developed by Charles Darwin.,The answer is factually correct. The theory of evolution by natural selection was indeed developed by Charles Darwin.,,,,,,,,,,,,,,,,,1,1
32,What is the speed of light in vacuum in km/s (rounded)?,300000,"The speed of light in a vacuum is approximately 299,792 kilometers per second (km/s). When rounded, it is commonly expressed as 300,000 km/s.","The answer is factually correct. The speed of light in a vacuum is approximately 299,792 kilometers per second (km/s), and it is commonly rounded to 300,000 km/s for simplicity in many contexts.",,,,,,,,,,,,,,,,,1,1
33,Which organ filters blood in the human body?,Kidneys,"The organ that filters blood in the human body is the kidney. The kidneys remove waste products and excess substances from the blood, helping to maintain the body's fluid and electrolyte balance.","The answer is factually correct. The kidneys are indeed the organs that filter blood in the human body, removing waste products and excess substances to help maintain fluid and electrolyte balance.",,,,,,,,,,,,,,,,,1,1
34,What instrument measures atmospheric pressure?,Barometer,The instrument that measures atmospheric pressure is called a barometer.,The answer is factually correct. A barometer is indeed the instrument used to measure atmospheric pressure.,,,,,,,,,,,,,,,,,1,1
35,What year did the internet become publicly accessible?,1991,"The internet became publicly accessible in 1991. This was when the World Wide Web was launched, allowing users to access and share information over the internet more easily.","The answer is partially correct. While the World Wide Web was indeed launched in 1991, the internet itself became publicly accessible earlier. The transition to a more public internet began in the late 1980s, with significant developments occurring in 1989 when Tim Berners-Lee proposed the World Wide Web. However, the internet as we know it became more widely available to the public in 1991 with the introduction of the World Wide Web.

To clarify: The internet became publicly accessible in the late 1980s, but the World Wide Web, which made it easier to navigate and use, was launched in 1991.",,,,,,,,,,,,,,,,,1,0
36,Which planet has the most moons?,Saturn,"As of my last knowledge update in October 2023, Saturn holds the record for the most moons in the solar system, with 83 confirmed moons. However, it's important to note that the number of moons can change as new discoveries are made and confirmed. Jupiter is a close second, with 80 confirmed moons. Always check the latest astronomical data for the most current information.","As of October 2023, the answer is factually correct. Saturn does indeed hold the record for the most confirmed moons in the solar system, with 83 confirmed moons. Jupiter follows closely with 80 confirmed moons. However, it's always a good idea to check for the latest updates, as new moons can be discovered or confirmed over time.",,,,,,,,,,,,,,,,,1,1
37,What is the primary function of red blood cells?,Transport oxygen,"The primary function of red blood cells (RBCs), also known as erythrocytes, is to transport oxygen from the lungs to the tissues and organs throughout the body. They achieve this through the protein hemoglobin, which binds to oxygen. Additionally, red blood cells help transport a small amount of carbon dioxide, a waste product of metabolism, from the tissues back to the lungs for exhalation.","The answer is factually correct. The primary function of red blood cells (RBCs), or erythrocytes, is indeed to transport oxygen from the lungs to the tissues and organs throughout the body using hemoglobin. Additionally, they do play a role in transporting a small amount of carbon dioxide from the tissues back to the lungs for exhalation. No corrections are needed.",,,,,,,,,,,,,,,,,1,1
38,Which country has the largest population as of 2023?,India,"As of 2023, China has the largest population in the world, followed closely by India. However, projections indicate that India may surpass China in population size soon.","As of 2023, India has surpassed China to become the country with the largest population in the world. Therefore, the corrected answer is that India has the largest population, followed closely by China.",,,,,,,,,,,,,,,,,0,1
39,What is the SI unit of force?,Newton,The SI unit of force is the newton (symbol: N).,The answer is factually correct. The SI unit of force is indeed the newton (symbol: N).,,,,,,,,,,,,,,,,,1,1
40,What part of the cell contains DNA?,Nucleus,"The part of the cell that contains DNA is the nucleus. In eukaryotic cells, the nucleus houses the cell's genetic material, organized into chromosomes. In prokaryotic cells, which do not have a nucleus, DNA is located in the cytoplasm, typically in a region called the nucleoid.","The answer is factually correct. In eukaryotic cells, the nucleus is the organelle that contains DNA, organized into chromosomes. In prokaryotic cells, which lack a nucleus, DNA is found in the cytoplasm in a region known as the nucleoid. Therefore, no correction is needed.",,,,,,,,,,,,,,,,,1,1
41,What is the name of the first artificial Earth satellite?,Sputnik 1,"The first artificial Earth satellite is named Sputnik 1. It was launched by the Soviet Union on October 4, 1957.","The answer is factually correct. The first artificial Earth satellite is indeed named Sputnik 1, and it was launched by the Soviet Union on October 4, 1957.",,,,,,,,,,,,,,,,,1,1
42,What is the half-life unit commonly used for radioactive decay?,Years,"The half-life unit commonly used for radioactive decay is time, and it can be expressed in various units such as seconds, minutes, hours, days, years, or even longer periods, depending on the isotope in question.","The answer is factually correct. The half-life of a radioactive isotope is indeed a measure of time, and it can be expressed in various units such as seconds, minutes, hours, days, years, or even longer periods, depending on the specific isotope being considered. There is no need for correction.",,,,,,,,,,,,,,,,,1,1
43,Which law states that energy cannot be created or destroyed?,Law of Conservation of Energy,"The law that states that energy cannot be created or destroyed is known as the **First Law of Thermodynamics**. This law is also referred to as the principle of conservation of energy. It asserts that the total energy of an isolated system remains constant, although energy can change forms, such as from kinetic to potential energy or from thermal energy to mechanical work.","The answer is factually correct. The First Law of Thermodynamics indeed states that energy cannot be created or destroyed, only transformed from one form to another. This principle is commonly referred to as the conservation of energy.",,,,,,,,,,,,,,,,,1,1
44,What is the most abundant element in the Earth's crust?,Oxygen,The most abundant element in the Earth's crust is oxygen. It makes up about 46.6% of the crust by weight.,"The answer is factually correct. Oxygen is indeed the most abundant element in the Earth's crust, making up about 46.6% of the crust by weight.",,,,,,,,,,,,,,,,,1,1
45,What is the pH value of pure water at 25°C?,7,"The pH value of pure water at 25°C is 7. This value is considered neutral on the pH scale, which ranges from 0 to 14.","The answer is factually correct. The pH value of pure water at 25°C is indeed 7, which is considered neutral on the pH scale that ranges from 0 to 14.",,,,,,,,,,,,,,,,,1,1
46,Who formulated the laws of planetary motion?,Johannes Kepler,The laws of planetary motion were formulated by Johannes Kepler. He developed three fundamental laws that describe the motion of planets around the Sun.,"The answer is factually correct. Johannes Kepler formulated the laws of planetary motion, which include three key laws that describe how planets orbit the Sun. These are known as Kepler's First Law (the law of ellipses), Kepler's Second Law (the law of equal areas), and Kepler's Third Law (the law of harmonies).",,,,,,,,,,,,,,,,,1,1
47,What is the SI unit of electrical resistance?,Ohm,"The SI unit of electrical resistance is the ohm, symbolized by the Greek letter omega (Ω).","The answer is factually correct. The SI unit of electrical resistance is indeed the ohm, symbolized by the Greek letter omega (Ω).",,,,,,,,,,,,,,,,,1,1
48,Which gas is most abundant in Earth's atmosphere?,Nitrogen,"The most abundant gas in Earth's atmosphere is nitrogen, which makes up about 78% of the atmosphere by volume.","The answer is factually correct. Nitrogen is indeed the most abundant gas in Earth's atmosphere, comprising about 78% of the atmosphere by volume.",,,,,,,,,,,,,,,,,1,1
49,What mathematical constant is approximately equal to 3.14159?,Pi,The mathematical constant that is approximately equal to 3.14159 is π (pi).,The answer is factually correct. The mathematical constant that is approximately equal to 3.14159 is indeed π (pi).,,,,,,,,,,,,,,,,,1,1
50,What particle carries a negative electric charge?,Electron,The particle that carries a negative electric charge is the electron.,The answer is factually correct. The particle that carries a negative electric charge is indeed the electron.,,,,,,,,,,,,,,,,,1,1